Localidad	Derivado		Boca de expendio					Dirección			Bandera		Precio sin impuesto	Precio final	Volumen informado (m3)		Exento
CAPITAL FEDERAL	Gas Oil Grado 2		NOCEDA S.A.					Warnes 236			YPF		1.513,13	2.112,00	5,86		NO
CAPITAL FEDERAL	Gas Oil Grado 2		MAURER & GRUMELLI S.R.L.					MIRANDA 5317			YPF		1.496,93	2.101,00	34,82		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Rivadavia 3199 (esq. Anchorena)			AXION		1.568,02	2.189,00	10,59		NO
CAPITAL FEDERAL	Gas Oil Grado 2		DEHEZA S.A.I.C.I.F.I.					AV. GRAL. PAZ 5400- MANO PROVINCIA.			SHELL C.A.P.S.A.		1.591,50	2.219,00	71,85		NO
CAPITAL FEDERAL	Gas Oil Grado 2		CASTAÑO AUTOVOX SRL					AV Tte Gral DELLEPIANE 5950			SHELL C.A.P.S.A.		1.231,54	2.199,00	9,00		NO
CAPITAL FEDERAL	Gas Oil Grado 2		JONTE 3386 SRL					JONTE 3386			YPF		1.727,69	2.101,00	29,66		NO
CAPITAL FEDERAL	Gas Oil Grado 2		DEHEZA S.A.C.I.F.I					24 DE NOVIEMBRE E INDEPENDENCIA			SHELL C.A.P.S.A.		1.574,85	2.199,00	19,31		NO
CAPITAL FEDERAL	Gas Oil Grado 2		DESTINATUM S.A.					Av Eva Peron 6102			YPF		1.500,74	2.112,00	204,73		NO
CAPITAL FEDERAL	Gas Oil Grado 2		SERVICIO ESCALADA S.A.					ESACALADA 678			YPF		1.499,70	2.110,00	34,11		NO
CAPITAL FEDERAL	Gas Oil Grado 2		YAPAY NEASA S.R.L.					AV. BALBIN 3560			SHELL C.A.P.S.A.		1.576,34	2.199,00	13,84		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PASGAL S.A.					ATUEL 1093			SHELL C.A.P.S.A.		1.578,98	2.199,00	212,89		NO
CAPITAL FEDERAL	Gas Oil Grado 2		DEVOTO STATION SA					Av. Chiclana 3702			SHELL C.A.P.S.A.		1.596,36	2.219,00	56,87		NO
CAPITAL FEDERAL	Gas Oil Grado 2		UBR S.A.					Avda Juan B Justo 3508			YPF		1.493,04	2.105,00	30,05		NO
CAPITAL FEDERAL	Gas Oil Grado 2		DTP SA					AV. RIVADAVIA 10984			PUMA		1.539,62	2.180,00	5.009,00		NO
CAPITAL FEDERAL	Gas Oil Grado 2		VERSALLES MULTISERVICE SRL					IRIGOYEN 1260			SHELL C.A.P.S.A.		1.584,52	2.199,00	30,39		NO
CAPITAL FEDERAL	Gas Oil Grado 2		INV-EST S.C.A.					AV. ASAMBLEA 1502			SHELL C.A.P.S.A.		1.264,64	2.199,00	15,00		NO
