Localidad	Derivado		Boca de expendio					Dirección			Bandera		Precio sin impuesto	Precio final	Volumen informado (m3)		Exento
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Rivadavia 8201/31 (esq. Joaquin V. Gonzalez)			AXION		1.799,42	2.469,00	25,09		SI
CAPITAL FEDERAL	Gas Oil Grado 3		ALGAVI SA					EVA PERON 2101			SHELL C.A.P.S.A.		1.837,91	2.499,00	24,36		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Gral. Paz 525 (esq. Cuevas)			AXION		1.799,42	2.469,00	127,04		SI
CAPITAL FEDERAL	Gas Oil Grado 3		TECNOLOGIA D´ATRI SRL					BRASIL 2984			AXION		1.800,25	2.469,00	32,25		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					San Martín 1521 (esq. Luis Viale)			AXION		1.799,42	2.469,00	24,85		SI
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. La Plata 575 (esq. Alberdi)			AXION		1.799,42	2.469,00	24,93		SI
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Rivadavia 3199 (esq. Anchorena)			AXION		1.799,42	2.469,00	13,50		SI
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.F.I					AV. FIGUEROA ALCORTA 3099			SHELL C.A.P.S.A.		1.822,90	2.499,00	112,28		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Monroe 3078 (esq. Balbin)			AXION		1.791,16	2.459,00	28,78		SI
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Emilio Castro 6512 (esq. Cafayate)			AXION		1.782,89	2.449,00	45,23		SI
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Triunvirato 5878 (esq. Av. Crisólogo Larralde)			AXION		1.791,16	2.459,00	33,67		SI
CAPITAL FEDERAL	Gas Oil Grado 3		SUPER SERVICIOS S.A.					AV. LIBERTADOR 5002			YPF		1.596,20	2.350,00	58,13		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Congreso 4801 (esq. Galvan)			AXION		1.791,16	2.459,00	27,36		SI
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Mosconi 2500 (esq. J.G. de Artigas)			AXION		1.791,16	2.459,00	36,38		SI
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					AV. F. Beiró 5501 esq. Moliere			AXION		1.799,42	2.469,00	50,65		SI
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.F.I.					AV. CORRIENTES 6535			SHELL C.A.P.S.A.		1.822,91	2.499,00	56,57		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av.Cordoba 5657 (esq. Bonpland)			AXION		1.799,42	2.469,00	40,36		SI
CAPITAL FEDERAL	Gas Oil Grado 3		AUTOMOVIL CLUB ARGENTINO					AV.RIVADAVIA 7530			YPF		1.680,90	2.323,00	60,64		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Cabildo 685/89/90/95 (esq. Olleros)			AXION		1.791,16	2.459,00	21,02		SI
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av Los Incas 3550			AXION		1.799,42	2.469,00	17,50		SI
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Autopista Gral. Paz 11200 (esq. Humaitá)			AXION		1.799,42	2.469,00	136,69		SI
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Gaona 2399 (esq Trelles)			AXION		1.799,42	2.469,00	30,30		SI
CAPITAL FEDERAL	Gas Oil Grado 3		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Libertador 2587 (esq. J. Salguero)			AXION		1.791,16	2.459,00	71,73		SI
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.F.I.					Av.Diaz Velez 4368			SHELL C.A.P.S.A.		1.772,67	2.429,00	61,77		NO
CAPITAL FEDERAL	Gas Oil Grado 3		WHITE S.R.L.					AV. DIRECTORIO 4586			GULF		1.812,96	2.483,00	33,70		NO
CAPITAL FEDERAL	Gas Oil Grado 3		SUPER SERVICIOS S.A.					EUSTAQUIO CAMBIESES 1780			YPF		1.581,06	2.318,00	28,26		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.F.I.					AUT. ILLIA ENTRE 7 Y PEAJE			SHELL C.A.P.S.A.		1.822,91	2.499,00	151,77		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.F.I.					AV. FIGUEROA ALCORTA 7786			SHELL C.A.P.S.A.		1.791,81	2.449,00	47,85		NO
CAPITAL FEDERAL	Gas Oil Grado 3		SUPER SERVICIOS SA					AV AVELLANEDA 1628			YPF		1.587,31	2.320,00	25,13		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.F.I.					AV. CRAMER 1691			SHELL C.A.P.S.A.		1.822,91	2.499,00	31,03		NO
CAPITAL FEDERAL	Gas Oil Grado 3		AUTOMOVIL CLUB ARGENTINO					FRANCISCO BEIRO 3561			YPF		1.694,05	2.348,00	45,63		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.F.I.					AV. CABILDO 4701			SHELL C.A.P.S.A.		1.822,91	2.499,00	60,21		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.F.I.					AV. CORDOBA 3710			SHELL C.A.P.S.A.		1.822,91	2.499,00	73,24		NO
CAPITAL FEDERAL	Gas Oil Grado 3		SUCESORES DE LOPEZ ALDAO Y CIA. S.R. L.					AV. SAN MARTI­N 7001			YPF		1.688,92	2.328,00	70,12		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.F.I.					AV. LIBERTADOR 7920			SHELL C.A.P.S.A.		1.822,91	2.499,00	54,87		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.F.I.					LINCOLN 3999			SHELL C.A.P.S.A.		1.822,91	2.499,00	41,35		NO
CAPITAL FEDERAL	Gas Oil Grado 3		AUTOMOVIL CLUB ARGENTINO					AV. CABILDO 1499			YPF		1.697,40	2.330,00	48,71		NO
CAPITAL FEDERAL	Gas Oil Grado 3		SOLMAY S.R.L					AV. JUAN BAUTISTA ALBERDI 4402			YPF		1.679,98	2.323,00	4,13		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.F.I.					AV. PASEO COLON 849			SHELL C.A.P.S.A.		1.822,91	2.499,00	147,11		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.I.F.I.					MAZA 391/97			SHELL C.A.P.S.A.		1.822,91	2.499,00	43,73		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ALMIRO SRL					JUAN B. ALBERDI 1502			SHELL C.A.P.S.A.		1.409,56	2.499,00	42,32		NO
CAPITAL FEDERAL	Gas Oil Grado 3		SERVINORTE S.A.					PARAGUAY 1676 Y ARTURO CAPDEVILA			YPF		1.756,93	2.350,00	81,75		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.I.F.I.					LIBERTADOR 550			SHELL C.A.P.S.A.		1.822,91	2.499,00	165,42		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.I.F.I.					AV. GRAL. PAZ 5500- MANO CAPITAL.			SHELL C.A.P.S.A.		1.842,74	2.523,00	208,53		NO
CAPITAL FEDERAL	Gas Oil Grado 3		AUTOMOVIL CLUB ARGENTINO					AV.MONTES DE OCA Y M.GARCIA			YPF		1.680,78	2.323,00	49,43		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEHEZA S.A.I.C.I.F.I.					AV. GRAL. PAZ 5400- MANO PROVINCIA.			SHELL C.A.P.S.A.		1.842,74	2.523,00	203,39		NO
CAPITAL FEDERAL	Gas Oil Grado 3		VICINI COMBUSTIBLES S.A.					AVENIDA DIRECTORIO 5698			SHELL C.A.P.S.A.		1.828,42	2.499,00	52,18		NO
CAPITAL FEDERAL	Gas Oil Grado 3		SERVICIOS TIGRE S.A:					JUAN B. JUSTO 4490			SHELL C.A.P.S.A.		1.827,48	2.499,00	22,89		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DESTINATUM S.A.					Av Eva Peron 6102			YPF		1.681,13	2.318,00	50,32		NO
CAPITAL FEDERAL	Gas Oil Grado 3		AUTOMOVIL CLUB ARGENTINO					AV.DEL LIBERTADOR 1850			YPF		1.697,50	2.330,00	131,06		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DEVOTO STATION SA					Av. Chiclana 3702			SHELL C.A.P.S.A.		1.869,09	2.549,00	77,83		NO
CAPITAL FEDERAL	Gas Oil Grado 3		SERVICIO ESCALADA S.A.					ESACALADA 678			YPF		1.681,80	2.318,00	40,47		NO
CAPITAL FEDERAL	Gas Oil Grado 3		AVELLANEDA 2411 S.R.L.					AV. AVELLANEDA 2411			SHELL C.A.P.S.A.		1.822,91	2.499,00	30,88		NO
CAPITAL FEDERAL	Gas Oil Grado 3		EMICAS SRL					AV. EMILIO CASTRO 7541			AXION		1.729,00	2.449,00	32,66		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ESTACION DE SERVICIO ALCOVER SRL					AV. EVA PERON 7460			SHELL C.A.P.S.A.		1.829,46	2.499,00	130,25		NO
CAPITAL FEDERAL	Gas Oil Grado 3		YAPAY NEASA S.R.L.					AV. CORRIENTES N° 3101			SHELL C.A.P.S.A.		1.816,33	2.499,00	43,01		NO
CAPITAL FEDERAL	Gas Oil Grado 3		SERVICES NAON SRL					OLAZABAL 3690			YPF		1.694,36	2.323,00	17,28		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ESTACIÓN DE SERVICIO LASCANO 2000 SA					NAZCA 2502			SHELL C.A.P.S.A.		1.827,15	2.499,00	37,25		SI
CAPITAL FEDERAL	Gas Oil Grado 3		VERSALLES MULTISERVICE SRL					IRIGOYEN 1260			SHELL C.A.P.S.A.		1.832,48	2.499,00	68,27		NO
CAPITAL FEDERAL	Gas Oil Grado 3		SAN JUAN Y SOLIS ALVAREZ Y DI LEVA S.A.					AV. SAN JUAN 1701			YPF		1.680,66	2.318,00	92,04		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ESTACION DE SERVICIO NORTEÑA SRL					Av Ricardo Balbin 4491			YPF		1.533,73	2.328,00	169,42		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ESTACIÓN DE SERVICIO SAAVEDRA S.R.L.					CRISÓLOGO LARRALDE 4688			YPF		1.878,00	2.330,00	23,53		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ANALIA SUSANA MARTINEZ					AV. LARRAZABAL 801			YPF		1.545,53	2.318,00	9,00		NO
CAPITAL FEDERAL	Gas Oil Grado 3		SAN JORGE S.A.					AV JUAN B. JUSTO Nº 9091			SHELL C.A.P.S.A.		1.822,91	2.499,00	33,57		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ESTACION DE SERVICIOS AVALOS S.A.					AV.DE LOS INCAS 4801			YPF		1.718,22	2.328,00	49,05		SI
CAPITAL FEDERAL	Gas Oil Grado 3		ESTACION DE SERVICIOS SANTA TERESITA					AV. EVA PERON 3668			PUMA		1.785,66	2.446,00	14,04		NO
CAPITAL FEDERAL	Gas Oil Grado 3		BOYACA C.I.S.A.					AV.ELCANO 4000			YPF		1.688,92	2.328,00	56,35		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ESTACION DE SERVICIO VAZQUEZ HNOS.SRL					Piedrabuena 4611			PUMA		1.801,36	2.446,00	46,21		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ESTACION LIMA S.R.L.					Lima 835			SHELL C.A.P.S.A.		1.822,91	2.499,00	181,13		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ESTACION S.A.					Asamblea 19			SHELL C.A.P.S.A.		1.409,56	2.521,00	38,00		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ESTACION SERVICIO SHELL ACENAF					AV.DE LOS CONTITUYENTES 4435			SHELL C.A.P.S.A.		1.827,30	2.499,00	31,70		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ROJO Y AMARILLO S.R.L.					A.THOMAS 2010			SHELL C.A.P.S.A.		1.803,27	2.509,00	47,40		NO
CAPITAL FEDERAL	Gas Oil Grado 3		BRAMO S.A.					AV. JUAN B. JUSTO 4407			SHELL C.A.P.S.A.		1.793,12	2.522,00	20,36		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ESTADÍAS Y SERVICIOS SA					ALMAFUERTE 187			AXION		1.799,42	2.469,00	121,07		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ROCCA COMBUSTIBLES S.A.					AV. ENTRE RIOS 1803			SHELL C.A.P.S.A.		1.829,46	2.499,00	123,71		NO
CAPITAL FEDERAL	Gas Oil Grado 3		UNICOMB S.R.L					Ramón L. Falcón 6398			AXION		1.380,00	2.479,00	20,30		NO
CAPITAL FEDERAL	Gas Oil Grado 3		FAST OIL S.A.					AV. SAN MARTIN 2401			SHELL C.A.P.S.A.		1.749,22	2.522,00	30,14		NO
CAPITAL FEDERAL	Gas Oil Grado 3		FGC FUELS MARKETING SA					Famatina 3387			SHELL C.A.P.S.A.		1.755,40	2.499,00	66,99		NO
CAPITAL FEDERAL	Gas Oil Grado 3		CALITRI FILOMENA LUCIA Y NIETO HORACIO ALFREDO					AVDA ESCALADA 2951			YPF		1.681,32	2.318,00	45,98		NO
CAPITAL FEDERAL	Gas Oil Grado 3		FUENTE DE PETRÓLEO S.A.					AV.ALVAREZ JONTE 2695			YPF		1.710,93	2.327,00	33,10		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ROCCA COMBUSTIBLES S.A.					AV. ENTRE RIOS 1890			SHELL C.A.P.S.A.		1.829,46	2.499,00	51,75		NO
CAPITAL FEDERAL	Gas Oil Grado 3		GARAGE Y EST.DE SERV.EL PROGRESO S.A.					AV. OLIVERA 1136			YPF		1.680,00	2.318,00	66,00		NO
CAPITAL FEDERAL	Gas Oil Grado 3		GASOLEO S.A.					Av. Juan B. Alberdi 7500			YPF		1.674,64	2.318,00	85,18		NO
CAPITAL FEDERAL	Gas Oil Grado 3		GASPARQUE S.A.					AV. DR. RICARDO BALBIN 5041			YPF		1.716,19	2.335,00	87,01		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ROCCA COMBUSTIBLES S.A.					Av. Juan B. Alberdi 7019			SHELL C.A.P.S.A.		1.829,46	2.499,00	70,14		NO
CAPITAL FEDERAL	Gas Oil Grado 3		GC CONGRESO S.R.L					ENTRE RIOS 1102			PUMA		1.786,25	2.446,00	9,64		NO
CAPITAL FEDERAL	Gas Oil Grado 3		CARACAS COMBUSTIBLE SRL					AV. GAONA 2886 Y CARACAS			SHELL C.A.P.S.A.		1.821,91	2.499,00	30,63		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ROBERTO OTERO Y JAVIER LOPEZ SH					AV DIRECTORIO 802			YPF		1.679,00	2.318,00	65,59		NO
CAPITAL FEDERAL	Gas Oil Grado 3		YAPAY NEASA S.R.L.					AV. BALBIN 3560			SHELL C.A.P.S.A.		1.706,94	2.499,00	59,18		NO
CAPITAL FEDERAL	Gas Oil Grado 3		GHIOLDI HNOS.S.A.DE T.C.I.Y F.					AV.AMANCIO ALCORTA Y LOS PATOS			BLANCA		1.849,01	2.259,00	26,38		NO
CAPITAL FEDERAL	Gas Oil Grado 3		CASAMASSIMA LEANDRO OMAR Y CASAMASSIMA MARTIN ALEJANDRO S.H.					Avenida La Plata 1614			PUMA		1.424,43	2.472,00	12,70		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ROBERTO OTERO Y JAVIER LOPEZ SH					Av Rivadavia 6045			YPF		1.679,00	2.318,00	33,63		NO
CAPITAL FEDERAL	Gas Oil Grado 3		GOMCOM S.A.					AV F.F.DE LA CRUZ 3205			SHELL C.A.P.S.A.		1.843,96	2.499,00	38,54		NO
CAPITAL FEDERAL	Gas Oil Grado 3		UNENS S.R.L.					ESPINOSA 605			YPF		1.584,11	2.320,00	37,92		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ROAL SRL					MARIANO ACOSTA 1195			SHELL C.A.P.S.A.		1.830,14	2.499,00	88,88		NO
CAPITAL FEDERAL	Gas Oil Grado 3		HUACALERA SRL					Av. Juan de Garay 2780			YPF		1.679,15	2.317,00	38,30		NO
CAPITAL FEDERAL	Gas Oil Grado 3		IMPIERI, PIÑEIRO, RIZZO Y ASOC. S.A.					Mexico 2701			SHELL C.A.P.S.A.		1.794,59	2.499,00	51,47		NO
CAPITAL FEDERAL	Gas Oil Grado 3		RIVAGAS S.A.					AV. RIVADAVIA 8101			YPF		1.680,36	2.318,00	29,66		NO
CAPITAL FEDERAL	Gas Oil Grado 3		CASTAÑO AUTOVOR SRL					AUT DELLEPIANE 6017 MANO PROVINCIA			SHELL C.A.P.S.A.		1.399,56	2.499,00	23,00		NO
CAPITAL FEDERAL	Gas Oil Grado 3		INCAT S.R.L.					AV. INDEPENDENCIA 2701			YPF		1.680,87	2.310,00	93,33		NO
CAPITAL FEDERAL	Gas Oil Grado 3		INV-EST S.C.A.					AV. ASAMBLEA 1502			SHELL C.A.P.S.A.		1.416,17	2.499,00	39,00		NO
CAPITAL FEDERAL	Gas Oil Grado 3		JONTE 3386 SRL					JONTE 3386			YPF		1.908,68	2.320,00	52,57		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ASAMUL S.R.L.					AV SAN MARTIN 3500			SHELL C.A.P.S.A.		1.822,81	2.499,00	25,68		NO
CAPITAL FEDERAL	Gas Oil Grado 3		RIO DE JANEIRO SA.					RIO DE JANEIRO 464			YPF		1.691,90	2.320,00	17,45		SI
CAPITAL FEDERAL	Gas Oil Grado 3		Juan B. Justo 1333 S. A.					AV. JUAN B. JUSTO 1333			SHELL C.A.P.S.A.		1.827,73	2.499,00	43,94		NO
CAPITAL FEDERAL	Gas Oil Grado 3		KINKA S.A.					AV.RAUL S. ORTIZ 1406			SHELL C.A.P.S.A.		1.826,82	2.499,00	33,55		NO
CAPITAL FEDERAL	Gas Oil Grado 3		CASTAÑO AUTOVOX SRL					AV Tte Gral DELLEPIANE 5950			SHELL C.A.P.S.A.		1.399,56	2.499,00	28,00		NO
CAPITAL FEDERAL	Gas Oil Grado 3		KLIVE S.A.					COLPAYO 406			YPF		1.685,03	2.320,00	17,49		NO
CAPITAL FEDERAL	Gas Oil Grado 3		UBR S.A.					Avda Juan B Justo 3508			YPF		1.685,51	2.326,00	46,40		NO
CAPITAL FEDERAL	Gas Oil Grado 3		RERIFE S.A.					AV. JUAN BAUTISTA ALBERDI 100			YPF		1.681,39	2.318,00	66,35		NO
CAPITAL FEDERAL	Gas Oil Grado 3		LAFUENTE COMBUSTIBLESS.R.L.					AVDA. RABANAL 2999			BLANCA		1.882,64	2.545,00	0,20		NO
CAPITAL FEDERAL	Gas Oil Grado 3		LA QUINTA ESTACION S.R.L.					AV.GRAL.MOSCONI 3289			YPF		1.718,09	2.328,00	98,71		SI
CAPITAL FEDERAL	Gas Oil Grado 3		LE BRETON S.R.L.					CONGRESO 4008			YPF		1.698,36	2.335,00	22,19		NO
CAPITAL FEDERAL	Gas Oil Grado 3		LEJEM S.A.					INTENDENTE RABANAL 1733			AXION		1.801,08	2.469,00	64,54		NO
CAPITAL FEDERAL	Gas Oil Grado 3		REFINERIA BAHIA BLANCA S.A.U.					VELEZ SARFIELD 522 0 ESQ. CORTEJARENA			PUMA		1.778,43	2.412,00	35,00		NO
CAPITAL FEDERAL	Gas Oil Grado 3		MADRO S.A.					AV. AMANCIO ALCORTA 2711			YPF		1.539,12	2.323,00	99,47		NO
CAPITAL FEDERAL	Gas Oil Grado 3		RED PETROL S.A.					AV.CNEL ROCA 6787			YPF		1.690,35	2.318,00	244,85		NO
CAPITAL FEDERAL	Gas Oil Grado 3		MAURER & GRUMELLI S.R.L.					MIRANDA 5317			YPF		1.688,23	2.320,00	59,75		NO
CAPITAL FEDERAL	Gas Oil Grado 3		TRIGAS S.A.					AV.CNEL.ROCA N° 6883			SHELL C.A.P.S.A.		1.740,38	2.449,00	107,31		NO
CAPITAL FEDERAL	Gas Oil Grado 3		MONTES DE OCA 1885 S.R.L.					MONTES DE OCA 1885			SHELL C.A.P.S.A.		1.845,19	2.522,00	138,73		NO
CAPITAL FEDERAL	Gas Oil Grado 3		COLON SRL					Av. de los Constituyentes 3516			SHELL C.A.P.S.A.		2.065,05	2.499,00	24,57		NO
CAPITAL FEDERAL	Gas Oil Grado 3		NAFPUR S.A.					Larrazabal 3645			YPF		1.693,54	2.318,00	102,04		NO
CAPITAL FEDERAL	Gas Oil Grado 3		NAFPUR XXI SA.					Zelarrayan 5530			YPF		1.696,59	2.318,00	141,82		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PSF UNISERVICIOS S.R.L					Jose m.Moreno 1483			YPF		1.681,20	2.318,00	66,61		NO
CAPITAL FEDERAL	Gas Oil Grado 3		NOCEDA S.A.					Warnes 236			YPF		1.700,52	2.348,00	15,39		NO
CAPITAL FEDERAL	Gas Oil Grado 3		NUESTRO SOSIEGO SA					DONATO ALVAREZ 2290			YPF		1.688,08	2.320,00	48,33		NO
CAPITAL FEDERAL	Gas Oil Grado 3		CORRO NORTE S.A					CORRO 501			YPF		1.908,68	2.320,00	45,76		NO
CAPITAL FEDERAL	Gas Oil Grado 3		OCTOBER S.A.					AV. WARNES 2040			AXION		1.783,30	2.469,00	16,99		NO
CAPITAL FEDERAL	GNC		OCTOBER S.A.					AV. WARNES 2040			AXION		443,38	539,90	254,00		NO
CAPITAL FEDERAL	GNC		MONTES DE OCA 1885 S.R.L.					MONTES DE OCA 1885			SHELL C.A.P.S.A.		571,85	699,00	63.595,10		NO
CAPITAL FEDERAL	GNC		EESS NUEVA BORGHETTO S.A					AVENIDA DORREGO 443			YPF		461,98	570,00	125.297,00		NO
CAPITAL FEDERAL	GNC		INMOBILIARIA OBRAR S.R.L.					NEUQUEN 1085			BLANCA		498,29	610,00	68.622,10		NO
CAPITAL FEDERAL	GNC		DTP SA					AV. RIVADAVIA 10984			PUMA		477,24	587,00	168.852,00		NO
CAPITAL FEDERAL	GNC		PETRUGAS S.A.					BARTOLOME MITRE 3595-3599			BLANCA		512,40	620,00	56.734,00		NO
CAPITAL FEDERAL	GNC		DIAGAS S.A.					AV. DIAZ VELEZ 4086			BLANCA		445,91	649,00	130.300,00		NO
CAPITAL FEDERAL	GNC		RIVAGAS S.A.					AV. RIVADAVIA 8101			YPF		517,66	639,00	85.890,00		NO
CAPITAL FEDERAL	GNC		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Juan de Garay 1302 (esq. Santiago del Estero)			AXION		652,07	789,00	79.978,40		NO
CAPITAL FEDERAL	GNC		ALBERDI 2299 SRL					AV. JUAN B. ALBERDI 2299			SHELL C.A.P.S.A.		448,09	599,90	128.537,00		NO
CAPITAL FEDERAL	GNC		NAF GAS S.A.					CARACAS 2319			BLANCA		470,99	529,90	128.000,00		NO
CAPITAL FEDERAL	GNC		NAFPUR S.A.					Larrazabal 3645			YPF		637,59	785,00	62.258,30		NO
CAPITAL FEDERAL	GNC		Juan B. Justo 1333 S. A.					AV. JUAN B. JUSTO 1333			SHELL C.A.P.S.A.		516,65	690,00	309.988,00		NO
CAPITAL FEDERAL	GNC		TOPEMA S.A.					CASEROS 1373/99			BLANCA		512,75	629,00	74.761,00		NO
CAPITAL FEDERAL	GNC		SERVICIOS TIGRE S.A:					JUAN B. JUSTO 4490			SHELL C.A.P.S.A.		481,80	620,00	87.117,50		NO
CAPITAL FEDERAL	GNC		SERVINORTE S.A.					PARAGUAY 1676 Y ARTURO CAPDEVILA			YPF		555,34	699,90	247.213,00		NO
CAPITAL FEDERAL	GNC		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Jujuy 164/196 (esq. Alsina)			AXION		615,70	745,00	124.198,00		NO
CAPITAL FEDERAL	GNC		PROINCO SA					AV. LA PLATA 901			YPF		551,78	679,90	82.661,80		NO
CAPITAL FEDERAL	GNC		RICSAGAS S. A.					AV J. DE GARAY 3702			BLANCA		468,12	619,00	72.460,00		NO
CAPITAL FEDERAL	GNC		RED PETROL S.A.					AV.CNEL ROCA 6787			YPF		577,89	699,00	127.799,00		NO
CAPITAL FEDERAL	GNC		SOLMAY S.R.L					AV. JUAN BAUTISTA ALBERDI 4402			YPF		517,66	639,00	53.388,90		NO
CAPITAL FEDERAL	GNC		ALKUSAN S.R.L.					ALBERTI 1868			BLANCA		529,39	699,00	52.249,00		NO
CAPITAL FEDERAL	GNC		NAFPUR XXI SA					ZELARRAYAN 5530			YPF		637,59	785,00	124.930,00		NO
CAPITAL FEDERAL	GNC		KUANTOKI S.A.					ALBERTI 1108			BLANCA		537,40	679,00	63.520,00		NO
CAPITAL FEDERAL	GNC		LA BAHIA SA					AV CABILDO 4899			BLANCA		558,00	699,00	233.039,00		NO
CAPITAL FEDERAL	GNC		AUTOMOVIL CLUB ARGENTINO					AV.RIVADAVIA 7530			YPF		497,13	601,52	154.881,00		NO
CAPITAL FEDERAL	GNC		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Gral. Paz 525 (esq. Cuevas)			AXION		648,76	785,00	154.716,00		NO
CAPITAL FEDERAL	GNC		INCAT S.R.L.					AV. INDEPENDENCIA 2701			YPF		577,69	699,00	88.313,40		NO
CAPITAL FEDERAL	GNC		NUEVOS EMPRENDIMIENTOS S.R.L.					AV. EVA PERON 4350			AXION		470,99	569,00	1.678.620,00		NO
CAPITAL FEDERAL	GNC		DEHEZA S.A.I.C.F.I.					AV. CORDOBA 3710			SHELL C.A.P.S.A.		520,58	640,00	84.816,20		NO
CAPITAL FEDERAL	GNC		LANTO SERVICIOS SRL					CORDOBA 2701 ESQ. ECUADOR			BLANCA		389,56	689,00	189.709,00		NO
CAPITAL FEDERAL	GNC		WHITE S.R.L.					AV. DIRECTORIO 4586			GULF		524,66	649,00	55.035,00		NO
CAPITAL FEDERAL	GNC		REGENCAR S.A.					ALMAFUERTE 407			BLANCA		495,79	599,90	117.325,00		NO
CAPITAL FEDERAL	GNC		PATRIGAS S.A.					COMBATE DE LOS POZOS 1243			BLANCA		475,68	629,00	98.268,00		NO
CAPITAL FEDERAL	GNC		SUPER SERVICIOS SA					AV AVELLANEDA 1628			YPF		481,89	610,00	120.538,00		NO
CAPITAL FEDERAL	GNC		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Autopista Gral. Paz 11200 (esq. Humaitá)			AXION		648,76	785,00	159.460,00		NO
CAPITAL FEDERAL	GNC		ROCCA COMBUSTIBLES S.A.					AV. ENTRE RIOS 1803			SHELL C.A.P.S.A.		555,32	679,00	94.101,00		NO
