Diputado	Distrito	Mandato	Inicia mandato	Finaliza mandato	Bloque
De Sensi, María Florencia  	BUENOS AIRES	2021-2025	12/10/23	12/09/25	PRO
Diez, Romina  	SANTA FE	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Domingo, Agustín  	RIO NEGRO	2021-2025	12/10/21	12/09/25	INNOVACIÓN FEDERAL
Emma, Nicolás  	CIUDAD DE BUENOS AIRES	2021-2025	12/07/23	12/09/25	LA LIBERTAD AVANZA
Espert, José Luis  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	LA LIBERTAD AVANZA
Estévez, Gabriela Beatriz  	CORDOBA	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Estrada, Emiliano  	SALTA	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Falcone, Eduardo  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	MID - MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO
Fein, Mónica  	SANTA FE	2021-2025	12/10/21	12/09/25	ENCUENTRO FEDERAL
Fernández, Carlos Alberto  	MISIONES	2021-2025	12/16/21	12/09/25	INNOVACIÓN FEDERAL
Fernández, Agustin  	TUCUMAN	2021-2025	12/10/21	12/09/25	INDEPENDENCIA
Fernández, Elia Marina  	TUCUMAN	2021-2025	11/02/23	12/09/25	INDEPENDENCIA
Fernández Molero, Daiana  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	PRO
Fernández Patri, Ramiro  	FORMOSA	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Ferraro, Maximiliano  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	COALICION CIVICA
Ferreyra, Alida  	CIUDAD DE BUENOS AIRES	2023-2027	01/31/24	12/09/27	LA LIBERTAD AVANZA
Figueroa Casas, Germana  	SANTA FE	2021-2025	12/10/21	12/09/25	PRO
Finocchiaro, Alejandro  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	PRO
Frade, Mónica  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	COALICION CIVICA
Freites, Andrea  	TIERRA DEL FUEGO	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Gaillard, Ana Carolina  	ENTRE RIOS	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
García, Carlos  	CHACO	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
García Aresca, Ignacio  	CORDOBA	2021-2025	12/10/21	12/09/25	ENCUENTRO FEDERAL
Garramuño, Ricardo  	TIERRA DEL FUEGO	2021-2025	02/06/25	12/09/25	SOMOS FUEGUINOS
Garrido, José Luis  	SANTA CRUZ	2023-2027	12/10/23	12/09/27	POR SANTA CRUZ
Ginocchio, Silvana Micaela  	CATAMARCA	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Giordano, Juan Carlos  	BUENOS AIRES	2021-2025	07/02/25	12/09/25	IZQUIERDA SOCIALISTA FIT-UNIDAD
Giorgi, Melina  	SANTA FE	2021-2025	12/07/23	12/09/25	DEMOCRACIA PARA SIEMPRE
Giudici, Silvana  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Giuliano, Diego A.  	SANTA FE	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Glinski, José  	CHUBUT	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Gollán, Daniel  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Gomez, José  	SANTIAGO DEL ESTERO	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
González, Gustavo Carlos Miguel  	SANTA CRUZ	2021-2025	12/16/21	12/09/25	UNIÓN POR LA PATRIA
González, Álvaro  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	PRO
González, Gerardo Gustavo  	FORMOSA	2023-2027	12/10/23	12/09/27	COHERENCIA
Gutiérrez, Ramiro  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Gutiérrez, Carlos  	CORDOBA	2023-2027	12/10/23	12/09/27	ENCUENTRO FEDERAL
Hagman, Itai  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Heller, Carlos  	CIUDAD DE BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Herrera, Ricardo  	LA RIOJA	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Herrera, Bernardo José  	SANTIAGO DEL ESTERO	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Huesen, Gerardo  	TUCUMAN	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Ianni, Ana María  	SANTA CRUZ	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Ibañez, María Cecilia  	CORDOBA	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Iglesias, Fernando Adolfo  	CIUDAD DE BUENOS AIRES	2021-2025	12/10/21	12/09/25	PRO
Iparraguirre, Rogelio  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Juliano, Pablo  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	DEMOCRACIA PARA SIEMPRE
Kirchner, Máximo Carlos  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Klipauka Lewtak, Florencia  	MISIONES	2021-2025	12/10/21	12/09/25	LA LIBERTAD AVANZA
