Apellido	Nombre	Genero	Confianza
Reyes	Roxana	F	100
Ripoll	Vilma	F	100
Ritondo	Cristian A.	M	100
Rizzotti	Jorge	M	100
Rodríguez Machado	Laura	F	100
Romero	Jorge Antonio	M	100
Romero	Ana Clara	F	100
Ruíz	Yamila	F	100
Sánchez	Roberto Antonio	M	100
Sánchez Wrba	Javier	M	100
Sand	Nancy	F	100
Santillán Juárez Brahim	Juliana	F	100
Santilli	Diego	M	100
Santoro	Leandro	M	100
Santurio	Santiago	M	100
Sarapura	Natalia Silvina	F	100
Selva	Sabrina	F	100
Siley	Vanesa Raquel	F	100
Snopek	Guillermo	M	100
Soria	Martín	M	100
Sotolano	María	F	100
Stolbizer	Margarita	F	99
Strada	Julia	F	100
Tailhade	Rodolfo	M	100
Tavela	Danya	F	100
Tetaz	Martin Alberto	M	100
Todero	Pablo	M	100
Tolosa Paz	Victoria	F	100
Toniolli	Eduardo	M	100
Torres	Alejandra	F	100
Tortoriello	Anibal	M	100
Tournier	José Federico	M	100
Treffinger	César	M	100
Valdés	Eduardo Félix	M	100
Vancsik	Daniel	M	100
Vargas Matyi	Brenda	F	99
Vásquez	Patricia	F	100
Vega	Yolanda	F	100
Verasay	Pamela Fernanda	F	99
Vidal	María Eugenia	F	100
Vilca	Alejandro	M	100
Villaverde	Lorena	F	100
Volnovich	Luana	F	100
Yasky	Hugo	M	100
Yedlin	Pablo Raúl	M	100
Yeza	Martín	M	100
Yutrovic	Carolina	F	100
Zabala Chacur	Natalia	F	100
Zago	Oscar	M	100
Zapata	Carlos Raúl	M	100
Zaracho	Natalia	F	100
Zulli	Christian Alejandro	M	100
